gene
CDH13
SLC25A13
ACAA2
ATP5MG
SEPTIN9
SEC24A
PPP1R13L
ACOT2
HIBADH
LACTB
CKM
CKMT2
ADH5
CMPK2
COX5B
COX6B1
COX6C
DECR1
DKC1
ECH1
EIF4A2
AK1
AK2
ACSL1
ALDOA
NNT
ABI3BP
TKFC
PIPSL
EML4
GNAI2
GNAL
GNB1
GPD2
GPI
PHPT1
PARVB
RMC1
H1-5
HSP90AA4P
HSPG2
IDH1
ACTBL2
ACADS
ARF1
ARF3
KPNA3
COA6
LGALS3
ABLIM1
MDH2
PGAM4
POTEE
MYH6
MYL6
NACA
NDUFA4
NDUFS8
NNMT
ATP2A1
ATP2A2
ACO2
HP1BP3
ATP5F1C
PCCB
MYOZ2
PGAM2
PKM
ATP5PO
NDUFAF7
PRKACA
PACS1
CISD1
PLGRKT
ACOT13
EIF2AK2
PSMA3
COQ8A
PSMD4
PSMD13
LRRC47
ADGRB3
GNB4
RPS2
SDHA
SFPQ
SRSF3
VWA1
SRI
TMOD1
TNNT2
TNS1
POTEF
UQCRC1
REEP5
APOO
MICALL2
SLC25A31
DYNLRB2
DYNLRB1
COQ5
CAVIN2
SUCLG1
FUBP1
SELENBP1
NDUFAF2
RAB11B
ADIPOQ
COX5A
CD47
GNA14
RUVBL2
FERMT2
ALDH3A2
PUF60
MORC3
PABPC1
IGKV3D-11
IGKV3-11
CHMP4A
HBB
HBD
HMGA1
KRT14
ARL3
IRAG2
MXRA7
NBN
NMT1
COPS7A
SLC12A2
DST
TST
EIF3I
EIF4G3
SEC24C
